"rank","player","age","position","team","games","mins_played","rebounds_defensive","pts"
380,"Liam McNeeley",20,"SF","CHO",28,342,5.2,12.1
381,"Larry Nance Jr.",33,"PF","CLE",27,342,5.1,9.4
382,"Mohamed Diawara",20,"SF","NYK",48,338,4.8,13.8
383,"Devin Carter",23,"PG","SAC",23,334,4.2,16
384,"Isaiah Livers",27,"PF","PHO",32,331,4.5,7.1
385,"Nick Smith Jr.",21,"SG","LAL",25,318,2,16.5
386,"Terrence Shannon Jr.",25,"SG","MIN",25,310,2.6,12.5
388,"Kelly Olynyk",34,"C","SAS",33,302,4.9,13
389,"Jae'Sean Tate",30,"SF","HOU",34,287,3.1,11.5
390,"Rasheer Fleming",21,"PF","PHO",34,284,3.3,11.9
391,"Zach Edey",23,"C","MEM",11,284,10,19
392,"Trae Young",27,"PG","ATL",10,280,1.9,24.8
393,"Malaki Branham",22,"SG","WAS",28,275,4.2,16.8
394,"Sharife Cooper",24,"PG","WAS",17,275,4.1,14.9
395,"Pete Nance",25,"PF","MIL",25,274,5.3,16.4
396,"Myron Gardner",24,"SF","MIA",29,270,7.5,15.6
397,"Yang Hansen",20,"C","POR",35,264,5.2,10.6
398,"Daeqwon Plowden",27,"SG","SAC",12,264,3,12.7
399,"Duop Reath",29,"C","POR",32,258,3.9,13.1
400,"Taelon Peter",23,"SG","IND",26,258,4,12
401,"Kevon Looney",29,"C","NOP",18,251,7.7,7.5
402,"Brooks Barnhizer",23,"SG","OKC",31,245,6.8,6.6
405,"Jalen Green",23,"SG","PHO",12,242,4.2,23.1
406,"Blake Wesley",22,"SG","POR",16,229,3.1,14
407,"Chris Paul",40,"PG","LAC",16,228,3.5,7.4
408,"Moritz Wagner",28,"C","ORL",18,223,6.5,25.3
409,"Jahmai Mashack",23,"SG","MEM",15,218,3,10.2
411,"Bronny James",21,"SG","LAL",29,211,1.9,10.7
412,"Pat Connaughton",33,"SG","CHO",26,207,5.6,13.9
413,"Joan Beringer",19,"PF","MIN",29,202,5,16.2
414,"Lindy Waters III",28,"SG","SAS",29,198,3.5,10.9
415,"Garrison Mathews",29,"SG","IND",15,196,2.8,14.3
416,"Nigel Hayes-Davis",31,"SF","PHO",27,195,3.9,6.3
417,"DaRon Holmes",23,"PF","DEN",17,186,4.5,13.9
418,"JD Davison",23,"PG","HOU",25,184,4.1,10.8
419,"Zach Collins",28,"C","CHI",10,184,7.8,19
420,"Scoot Henderson",21,"PG","POR",8,183,3.9,21.4
421,"Andre Jackson Jr.",24,"SG","MIL",28,177,3.1,8.1
423,"Jordan McLaughlin",29,"PG","SAS",28,175,3.3,11.5
424,"Chris Youngblood",23,"SG","OKC",32,174,4.3,13.4
425,"Chaz Lanier",24,"SG","DET",20,171,2.5,13.1
426,"Marcus Sasser",25,"PG","DET",18,170,3,20.1
427,"Taurean Prince",31,"SF","MIL",8,169,2.8,10.4
428,"Ty Jerome",28,"SG","MEM",8,168,3.4,33.6
429,"Keshad Johnson",24,"SF","MIA",23,164,5.9,16
430,"Hunter Tyson",25,"PF","DEN",21,162,7.1,10.2
431,"Ron Harper Jr.",25,"SF","BOS",14,160,3.4,10.4
432,"Walker Kessler",24,"C","UTA",5,154,7.2,16.8
433,"Drew Timme",25,"PF","LAL",18,150,3.6,15.1
434,"Jonathan Mogbo",24,"PF","TOR",23,139,6.5,7.8
435,"Khaman Maluach",19,"C","PHO",26,137,6.8,12.4
436,"Jamal Cain",26,"SF","ORL",20,137,2.4,13.4
438,"Mason Plumlee",35,"C","CHO",14,125,8.6,7.5
439,"Lachlan Olbrich",22,"C","CHI",18,124,7.5,7
440,"Kevin McCullar Jr.",24,"SF","NYK",16,123,4.4,10
441,"Scotty Pippen Jr.",25,"PG","MEM",6,123,1.8,18.7
443,"Bradley Beal",32,"SG","LAC",6,121,0.9,14.6
444,"Doug McDermott",34,"SF","SAC",12,116,2.5,16.1
445,"Dereck Lively II",21,"C","DAL",7,115,7.2,9.4
446,"Amari Williams",24,"PF","BOS",15,113,7.3,7
447,"A.J. Lawson",25,"SG","TOR",13,109,5.3,16.2
448,"Elijah Harkless",25,"SG","UTA",10,108,3,10
449,"Miles Kelly",23,"PG","DAL",13,103,5.2,11.9
450,"Luke Travers",24,"SG","CLE",12,103,5.2,9.8
451,"Alondes Williams",26,"SG","WAS",4,101,7.1,15.7
